Time (seconds),Requests,Throughput (requests/second),Minimum Latency (microseconds),25th Percentile Latency (microseconds),Median Latency (microseconds),Average Latency (microseconds),75th Percentile Latency (microseconds),90th Percentile Latency (microseconds),95th Percentile Latency (microseconds),99th Percentile Latency (microseconds),Maximum Latency (microseconds)
0,105,105.000,1645,3458,6377,9574,14518,18941,23238,34245,42223
1,113,113.000,1587,3150,6510,8822,13389,16207,26826,31449,32258
2,150,150.000,1103,2544,3725,6633,9681,13220,15606,28638,30782
3,139,139.000,1178,2768,4432,7217,11148,13650,14919,24495,24891
4,124,124.000,1133,2796,5778,8117,11728,15865,23352,31031,33135
5,127,127.000,1233,2816,6451,7808,12153,15167,17376,23177,24028
6,140,140.000,990,2430,3846,7147,10409,13559,23726,29371,33005
7,136,136.000,1203,2698,5771,7308,10527,13010,17879,32370,36100
8,135,135.000,1230,2767,6561,7390,11069,13131,16326,26708,26987
9,138,138.000,1001,2743,6070,7277,11036,13798,14835,27528,28855
10,137,137.000,1249,2714,4239,7282,10853,14704,16962,27818,29390
11,117,117.000,958,3251,7416,8593,12131,15894,16972,30548,35627
12,124,124.000,879,2412,4520,8033,11408,18564,24492,29149,41698
13,140,140.000,1151,2397,5603,7099,10561,13621,16172,29924,30138
14,153,153.000,1194,2618,3642,6547,9029,13488,16632,25638,28281
15,133,133.000,1045,2711,5341,7502,11345,14886,22087,26990,29152
16,146,146.000,1326,2346,4498,6872,10738,13642,14751,26036,29245
17,134,134.000,883,2643,7214,7438,10940,13620,15471,25097,25968
18,170,170.000,987,2140,2822,5864,8712,11636,19431,27501,28242
19,163,163.000,1028,2184,3186,6146,9561,12278,16274,25789,29678
20,135,135.000,1086,2449,5026,7438,10898,15104,21299,27125,28267
21,145,145.000,1045,2431,5293,6827,9074,12935,15240,31918,32328
22,155,155.000,975,2201,4705,6491,9378,13243,19561,23738,26978
23,169,169.000,996,2013,4985,5876,8174,10079,18105,23050,33321
24,178,178.000,987,2088,3565,5603,8674,11358,13001,23914,25882
25,162,162.000,1043,2285,4066,6167,10177,11930,13108,22574,29112
26,153,153.000,1076,2310,3911,6540,9300,12450,14842,25339,27406
27,149,149.000,1272,2683,5882,6704,9904,12401,14426,25538,25788
28,149,149.000,1317,2455,4636,6708,9349,13715,20362,24532,25606
29,145,145.000,957,2338,4578,6876,9980,14643,22239,26240,28465
30,159,159.000,1277,2483,4403,6391,9695,12499,14884,23595,25117
31,151,151.000,1033,2169,5453,6563,9229,12392,19665,28540,29585
32,156,156.000,899,2261,5589,6354,9511,12710,14193,22211,23152
33,150,150.000,1105,2543,5316,6657,9988,14007,14798,25290,36936
34,155,155.000,1096,2290,5819,6445,9575,11662,13219,23988,24933
35,176,176.000,1045,2112,2750,5778,8554,11033,20730,24579,24947
36,150,150.000,1098,2520,4080,6562,9937,13138,13936,22491,27070
37,147,147.000,1103,2256,6382,6777,10092,11862,14046,23780,23793
38,147,147.000,1088,2357,4213,6802,10438,13918,15499,26831,31493
39,170,170.000,1083,2341,3290,5926,8816,12459,14885,24265,28789
40,133,133.000,1169,2847,5396,7465,10670,13732,17037,29884,31657
41,150,150.000,1047,2379,3779,6703,10198,12913,16931,29847,34041
42,143,143.000,945,2367,6047,6919,9527,13625,17945,28422,32600
43,159,159.000,1020,2410,4753,6322,8939,12385,15683,27057,29296
44,128,128.000,994,2560,5623,7758,10765,15134,26594,32997,34222
45,140,140.000,971,2291,4993,7144,9916,15835,21645,28424,29058
46,155,155.000,969,2112,5646,6441,9301,13100,15165,21538,23333
47,161,161.000,1002,2181,5301,6266,9310,12230,13934,22446,23323
48,175,175.000,999,2113,3054,5647,8483,11071,13303,22339,25907
49,157,157.000,960,2194,3275,6385,9322,12173,19847,23586,24547
50,134,134.000,1056,2922,6449,7443,11017,14098,17534,28519,29593
51,151,151.000,1088,2304,5647,6647,9906,12470,14232,24732,25312
52,164,164.000,1023,2117,3862,6097,8793,12102,13325,27614,27621
53,160,160.000,954,2240,3782,6251,9354,12445,15599,24442,28149
54,143,143.000,1362,2453,6065,6998,10574,13284,16040,24621,25555
55,170,170.000,954,2256,3672,5857,9059,11969,13411,21053,23231
56,161,161.000,971,2459,4086,6182,9411,12341,14181,27465,27843
57,138,138.000,1256,2311,5806,7255,11027,13594,20243,29237,29548
58,173,173.000,969,2154,3253,5807,8562,12139,14643,25999,29447
59,157,157.000,1032,2217,4822,6269,8781,12649,14100,23943,30110
