Transaction Type Index,Transaction Name,Start Time (microseconds),Latency (microseconds),Worker Id (start number),Phase Id (index in config file)
1,NewOrder,1694163133.425272,6509,0,1
2,Payment,1694163133.431790,4340,0,1
5,StockLevel,1694163133.436143,2240,0,1
1,NewOrder,1694163133.438394,13032,0,1
1,NewOrder,1694163133.451439,11557,0,1
2,Payment,1694163133.463009,4249,0,1
2,Payment,1694163133.467270,3848,0,1
1,NewOrder,1694163133.471128,14413,0,1
4,Delivery,1694163133.485554,23041,0,1
2,Payment,1694163133.508607,4013,0,1
2,Payment,1694163133.512631,3903,0,1
1,NewOrder,1694163133.516547,9030,0,1
2,Payment,1694163133.525589,5720,0,1
1,NewOrder,1694163133.531321,6764,0,1
4,Delivery,1694163133.538097,21526,0,1
2,Payment,1694163133.559638,4152,0,1
1,NewOrder,1694163133.563803,12366,0,1
5,StockLevel,1694163133.576181,1993,0,1
4,Delivery,1694163133.578183,22905,0,1
1,NewOrder,1694163133.601101,8674,0,1
2,Payment,1694163133.609788,5227,0,1
2,Payment,1694163133.615027,4082,0,1
2,Payment,1694163133.619119,3872,0,1
1,NewOrder,1694163133.623002,9019,0,1
1,NewOrder,1694163133.632033,12638,0,1
2,Payment,1694163133.644684,4095,0,1
1,NewOrder,1694163133.648792,15711,0,1
2,Payment,1694163133.664516,3844,0,1
1,NewOrder,1694163133.668371,9429,0,1
1,NewOrder,1694163133.677811,13929,0,1
1,NewOrder,1694163133.691753,8611,0,1
4,Delivery,1694163133.700373,23700,0,1
1,NewOrder,1694163133.724085,10255,0,1
2,Payment,1694163133.734352,5455,0,1
2,Payment,1694163133.739819,3947,0,1
1,NewOrder,1694163133.743779,8762,0,1
1,NewOrder,1694163133.752551,11253,0,1
1,NewOrder,1694163133.763816,11539,0,1
1,NewOrder,1694163133.775367,8665,0,1
1,NewOrder,1694163133.784044,6490,0,1
2,Payment,1694163133.790545,3803,0,1
1,NewOrder,1694163133.794358,9993,0,1
1,NewOrder,1694163133.804364,11770,0,1
