Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,37.400,278.676,1.040,264.611,302.130,309.516,341.190,400.272,439.034,563.088,0.004
5,868.800,10.960,0.711,4.705,7.327,10.664,13.316,17.528,249.404,358.890,0.091
10,1037.200,10.075,0.691,4.457,7.007,10.278,12.691,17.521,36.233,557.861,0.099
15,30.600,335.116,0.746,110.747,410.773,505.691,553.216,634.597,635.080,643.013,0.003
20,976.000,9.528,0.683,4.545,7.174,10.368,13.209,17.367,22.273,535.387,0.105
25,1029.400,9.711,0.689,5.825,8.575,11.936,14.583,18.429,24.115,325.893,0.103
30,1110.000,9.013,0.703,5.136,7.848,11.288,14.038,18.122,24.210,217.240,0.111
35,636.200,16.064,0.669,4.709,7.324,10.940,13.656,19.476,303.518,431.809,0.062
40,159.600,61.227,0.715,4.925,8.547,13.052,302.437,334.434,359.301,369.034,0.016
45,1305.400,7.655,0.724,4.512,6.987,10.285,12.413,15.739,20.208,27.403,0.131
50,398.600,26.259,0.716,4.457,7.345,10.750,15.851,87.430,543.793,697.836,0.038
55,407.800,23.156,0.743,4.535,7.188,10.602,14.393,20.075,451.872,694.370,0.043
60,1169.200,8.536,0.656,5.078,7.837,11.201,13.873,17.289,23.329,52.380,0.117
65,1079.600,9.262,0.714,5.521,8.103,11.508,13.967,17.508,21.780,327.977,0.108
70,1030.000,9.709,0.689,4.852,7.311,10.879,13.298,17.661,23.091,435.137,0.103
75,285.200,36.460,0.765,4.944,8.142,12.251,33.348,300.850,364.624,395.749,0.027
80,36.400,263.585,1.167,250.907,297.499,307.028,360.528,384.066,389.011,389.262,0.004
85,1218.000,8.619,0.649,4.665,7.193,10.772,13.655,17.918,21.788,488.352,0.116
90,356.200,26.840,0.779,4.751,7.864,11.045,18.207,235.334,405.126,650.803,0.037
95,34.400,300.905,0.938,11.182,440.439,500.823,552.669,603.839,697.078,697.087,0.003
100,1104.000,8.687,0.711,4.587,7.279,10.687,13.717,17.932,25.519,258.159,0.115
105,1098.400,9.095,0.698,5.863,8.497,11.903,14.479,17.832,22.332,56.420,0.110
110,652.800,15.881,0.714,5.250,7.851,11.594,14.677,19.423,312.009,396.569,0.063
115,354.400,27.146,0.728,5.022,8.014,11.769,17.980,291.007,347.477,390.595,0.037
120,828.600,12.065,0.719,4.856,7.467,10.993,13.611,18.409,46.211,959.928,0.083
125,1209.200,8.269,0.698,4.556,7.014,10.390,12.841,16.932,21.083,320.638,0.121
130,628.200,16.682,0.649,4.456,6.886,10.397,13.655,19.322,438.844,640.866,0.060
135,37.400,254.433,0.967,7.535,265.174,499.769,543.358,547.006,569.127,574.712,0.004
140,1232.000,8.112,0.699,4.723,7.417,10.681,13.556,17.513,22.177,43.290,0.123
145,704.600,14.202,0.715,5.969,8.776,12.196,15.281,19.857,293.128,360.724,0.070
150,687.400,15.054,0.698,5.423,7.980,11.628,14.369,18.840,341.377,498.111,0.066
155,752.800,12.811,0.685,5.120,7.942,11.268,14.089,18.636,270.070,351.674,0.078
160,1186.800,8.433,0.674,4.750,7.249,10.716,12.946,16.399,20.898,305.231,0.119
165,1067.000,9.366,0.706,4.588,7.183,10.467,12.843,16.844,21.786,417.656,0.107
170,421.600,24.293,0.621,4.524,7.084,10.716,16.521,45.820,545.595,862.618,0.041
175,156.800,61.864,0.696,5.127,8.395,12.782,242.538,461.155,1229.320,1229.862,0.016
