Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,5.200,2.040,1.290,1.568,1.866,2.424,2.736,3.383,3.786,3.786,0.490
5,3.800,1.599,1.257,1.435,1.535,1.681,1.993,2.402,2.402,2.402,0.625
10,4.600,1.618,1.134,1.176,1.405,1.912,2.252,2.349,2.899,2.899,0.618
15,5.000,1.478,1.057,1.248,1.461,1.729,1.823,1.879,2.050,2.050,0.677
20,5.400,1.315,1.046,1.123,1.269,1.378,1.863,1.868,2.165,2.165,0.760
25,4.000,1.690,1.007,1.314,1.721,2.051,2.387,2.526,2.526,2.526,0.592
30,5.800,1.547,1.003,1.189,1.297,1.720,2.410,2.582,2.749,2.749,0.646
35,4.800,1.680,1.108,1.265,1.448,2.218,2.483,2.747,3.325,3.325,0.595
40,4.000,1.632,1.020,1.168,1.399,1.871,2.320,5.190,5.190,5.190,0.613
45,5.000,1.560,0.936,1.107,1.354,1.703,2.280,2.511,4.623,4.623,0.641
50,4.600,1.308,0.912,1.159,1.253,1.473,1.609,1.684,1.852,1.852,0.764
55,3.200,1.486,0.978,1.156,1.287,1.929,2.143,2.545,2.545,2.545,0.673
