Time (seconds),Requests,Throughput (requests/second),Minimum Latency (microseconds),25th Percentile Latency (microseconds),Median Latency (microseconds),Average Latency (microseconds),75th Percentile Latency (microseconds),90th Percentile Latency (microseconds),95th Percentile Latency (microseconds),99th Percentile Latency (microseconds),Maximum Latency (microseconds)
0,90,90.000,1748,5872,10587,11313,16051,19587,21049,22697,22697
1,94,94.000,2107,4925,7225,10430,16531,19440,21505,42288,42288
2,85,85.000,1927,4948,8096,11743,16639,22790,31439,45488,45488
3,115,115.000,1602,4531,6018,8722,13478,15922,17719,25065,28828
4,98,98.000,1598,4904,7102,10156,14573,17928,28881,34605,34605
5,96,96.000,1593,4588,6577,10417,15540,19188,30699,39145,39145
6,102,102.000,1417,4843,7421,9792,14723,18300,21734,29617,40706
7,97,97.000,1304,4533,8218,10308,14415,19450,23486,33132,33132
8,83,83.000,3616,5386,11213,12053,15241,18258,29454,61219,61219
9,111,111.000,1312,4316,5994,9066,14011,17393,19555,33125,33732
10,91,91.000,1336,4821,9181,10958,13984,19098,25114,72566,72566
11,113,113.000,1341,4296,6232,8794,13009,16166,19147,28348,28999
12,97,97.000,1428,4700,9738,10354,15021,18373,22011,37110,37110
13,110,110.000,1433,4700,9148,9033,12879,16930,17316,18929,20163
14,88,88.000,1562,5117,10281,11351,15916,19522,22853,40530,40530
15,110,110.000,1382,4683,6525,9269,13554,16642,20132,35404,35878
16,107,107.000,1427,4430,6394,9244,12805,17253,20397,28584,35418
17,101,101.000,1303,4481,9650,9877,14141,17853,19875,30978,33133
18,107,107.000,1286,4375,6369,9307,13790,17704,20634,26524,29364
19,96,96.000,1435,4589,9735,10393,14590,18939,23404,33064,33064
20,101,101.000,1743,4613,8278,9877,14331,17292,19552,31358,36113
21,104,104.000,1187,4262,7042,9620,14574,17876,22121,30560,34608
22,94,94.000,1814,4977,9905,10735,15146,18192,21008,49405,49405
23,101,101.000,1080,4452,9622,9783,13894,17384,18911,29043,30149
24,109,109.000,1698,4228,9189,9208,12621,16003,18978,30499,30512
25,121,121.000,1189,3992,7820,8309,11457,14704,17173,26191,27131
26,109,109.000,1260,4767,6829,9163,12937,16404,18793,27102,30568
27,111,111.000,1203,4313,7609,8921,12854,15559,17281,29997,33656
28,104,104.000,1268,4502,7953,9799,13946,19126,21022,33974,37818
29,107,107.000,978,4386,8609,9319,13967,16719,18896,23985,35549
30,100,100.000,1292,4245,6206,9811,13892,17761,26247,43378,43378
31,118,118.000,1442,4526,5816,8460,11800,15498,17695,29102,31634
32,96,96.000,1464,4332,9076,10473,14147,19589,30463,34065,34065
33,104,104.000,1124,4545,7336,9594,13773,17689,19754,31977,33824
34,117,117.000,1144,4595,6224,8505,12084,15115,17555,29558,32421
35,116,116.000,1154,4387,7551,8646,11855,15329,17488,28297,30643
36,99,99.000,1460,4463,6972,10074,14775,18745,21978,34213,34213
37,105,105.000,1077,4452,8867,9585,13432,16218,20502,31179,36771
38,99,99.000,1553,4482,8884,10033,13517,18041,27972,37058,37058
39,110,110.000,1146,4345,9055,9149,13193,16108,17128,30538,30660
40,104,104.000,1145,4381,7440,9525,14023,17840,19624,29036,34292
41,119,119.000,1191,4189,6186,8449,12281,15456,18186,32329,33429
42,109,109.000,1041,4610,6975,9148,12538,16221,21091,32944,38841
43,76,76.000,1527,5713,12847,13252,17722,22583,33410,38041,38041
44,82,82.000,1523,5294,8570,12175,16522,21383,30984,68576,68576
45,95,95.000,1376,5013,8055,10643,15505,20667,23139,34529,34529
46,79,79.000,1495,6002,12706,12592,17684,21267,24228,41680,41680
47,85,85.000,1510,5725,9713,11664,17300,21146,23577,37038,37038
48,100,100.000,1628,4966,6329,9924,14803,18383,21097,41871,41871
49,98,98.000,1476,4910,6357,10181,14147,18376,20803,64018,64018
50,93,93.000,1388,4577,10268,10734,14389,17083,26248,38272,38272
51,92,92.000,1429,4909,6111,10862,14060,22119,31116,43178,43178
52,98,98.000,1344,4561,6397,10224,14297,17879,29965,38453,38453
53,116,116.000,1378,4100,5201,8713,12532,16474,27026,32587,37558
54,103,103.000,1485,4575,9317,9755,13208,17661,20981,31437,33406
55,105,105.000,1274,4346,7497,9455,13713,17599,21787,31942,36179
56,104,104.000,1684,4588,6655,9535,13770,18363,21289,30305,30778
57,101,101.000,1194,4375,8416,9949,14456,17190,22564,34372,34581
58,79,79.000,1360,5058,7772,12546,16637,23283,37290,91267,91267
59,88,88.000,1699,4991,8260,11335,15718,22597,36475,39793,39793
