Time (seconds),Requests,Throughput (requests/second),Minimum Latency (microseconds),25th Percentile Latency (microseconds),Median Latency (microseconds),Average Latency (microseconds),75th Percentile Latency (microseconds),90th Percentile Latency (microseconds),95th Percentile Latency (microseconds),99th Percentile Latency (microseconds),Maximum Latency (microseconds)
0,135,135.000,1651,3571,6716,7406,9735,12833,18232,24891,25456
1,146,146.000,1424,3187,6390,6859,9287,12736,17455,20070,20080
2,149,149.000,1292,3134,6025,6689,8721,12345,18461,20851,22472
3,167,167.000,1064,2997,5097,5989,7775,10558,16200,18692,19423
4,149,149.000,881,3030,5744,6689,8766,13846,17339,19586,26595
5,179,179.000,887,2810,5317,5622,7825,9981,12242,18058,21676
6,129,129.000,802,2792,4080,7702,8858,11059,16728,53850,145800
7,164,164.000,851,2966,5879,6092,8066,10015,13841,17708,19004
8,167,167.000,876,2986,5692,6019,8548,10190,11925,18491,20605
9,165,165.000,795,2915,5658,6013,8328,9973,12880,19858,20781
10,169,169.000,809,2949,3695,5911,7853,11070,15847,19101,19653
11,92,92.000,871,3073,5165,19878,8820,11685,18048,1205051,1205051
12,32,32.000,931,2900,4537,5346,8090,8941,12644,15626,15626
13,180,180.000,852,2877,4342,5604,7607,9934,12973,19415,22411
14,159,159.000,1033,2967,5479,6261,8824,10529,15874,18420,22017
15,180,180.000,752,2877,3792,5552,8240,9734,11367,16636,17881
16,123,123.000,891,2880,5379,8858,8312,10629,15987,106550,124051
17,10,10.000,88407,93918,96972,99240,106627,115437,115437,115437,115437
18,36,36.000,1394,3092,6485,25339,23032,99376,111051,112994,112994
19,163,163.000,786,3057,5837,6126,8528,10236,13742,17768,18656
20,171,171.000,891,2865,3816,5855,8353,10272,15987,18341,20388
21,179,179.000,792,2852,3455,5616,7520,10607,15383,18603,18796
22,178,178.000,860,2812,3680,5576,7991,10350,15895,18493,21815
23,176,176.000,933,2790,3539,5665,7662,10591,13279,19220,21351
24,168,168.000,816,2911,4252,5947,8602,10391,12995,21231,23054
25,162,162.000,800,3074,6002,6190,8403,10733,12047,16603,21466
26,167,167.000,889,2894,5543,5986,8490,10086,11756,19469,21742
27,151,151.000,795,2860,6146,6625,8622,11347,17008,20324,22474
28,180,180.000,810,2708,3647,5524,7934,9869,14152,17684,22843
29,162,162.000,914,2852,5873,6159,8103,10190,15500,18604,18958
30,165,165.000,838,2807,3970,6071,8602,11055,16031,19034,24910
31,177,177.000,844,2851,4294,5634,8279,9778,11275,17679,18997
32,167,167.000,820,2827,5520,6001,8403,10881,11971,17837,18546
33,168,168.000,846,2896,5612,6014,8162,9796,14310,19308,21528
34,178,178.000,873,2817,4039,5533,7417,9854,13067,17349,18049
35,165,165.000,858,2940,5809,6096,8348,10072,13598,19476,21169
36,167,167.000,765,2867,6029,5997,8415,9909,11627,16875,17165
37,164,164.000,779,2924,4873,6044,7869,11113,16369,19874,26986
38,178,178.000,753,2782,3798,5631,7758,9957,12892,18390,22499
39,174,174.000,812,2826,4420,5776,7964,10260,14250,20574,23368
40,171,171.000,807,2806,4076,5823,8233,10197,11438,22367,24713
41,183,183.000,807,2750,3718,5439,7649,10002,11858,17948,18151
42,175,175.000,861,2716,3373,5714,8467,10175,15820,18349,19512
43,183,183.000,803,2794,4721,5450,8179,9786,10828,15437,21887
44,183,183.000,816,2853,3709,5462,8035,10125,11599,18658,19024
45,154,154.000,844,3033,6250,6489,8770,10543,11928,20520,22044
46,183,183.000,712,2688,3246,5474,7843,9863,14764,23612,25738
47,200,200.000,758,2717,3144,5008,7314,9659,10597,17742,21041
48,171,171.000,776,2769,5683,5827,8066,9809,12271,17907,18180
49,165,165.000,730,2801,5000,6055,8367,9802,16539,21149,22856
50,182,182.000,756,2669,4690,5492,7861,9645,12715,16970,17429
51,182,182.000,775,2717,4600,5513,7736,9926,12930,18138,19090
52,186,186.000,784,2707,3666,5372,7378,9623,11185,18502,19624
53,166,166.000,799,2829,5624,6048,8285,10716,15234,21343,21768
54,160,160.000,827,3098,5545,6198,8843,10631,14959,19533,24338
55,164,164.000,855,2955,5134,6090,8437,10963,13849,19255,19332
56,175,175.000,801,2812,5582,5722,7856,10135,12158,16551,17491
57,180,180.000,838,2832,3928,5538,8056,9809,11068,19555,22458
58,193,193.000,766,2765,3425,5207,7441,9763,11539,17593,17598
59,173,173.000,830,2786,3569,5712,7944,10789,13114,18301,26841
