Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,2.000,11.235,6.681,9.825,11.445,13.494,15.920,15.920,15.920,15.920,0.089
5,3.800,7.062,4.600,5.883,6.691,8.121,9.447,11.350,11.350,11.350,0.142
10,46.800,8.131,4.420,6.424,7.851,9.351,11.955,13.300,15.086,15.353,0.123
15,90.200,7.441,3.339,5.771,7.262,8.626,10.164,11.518,14.232,15.063,0.134
20,99.000,6.801,3.677,5.223,6.557,7.987,9.141,10.964,12.823,14.735,0.147
25,92.200,7.169,3.715,5.587,7.085,8.414,9.623,10.803,13.717,14.534,0.139
30,86.000,7.380,3.383,5.652,7.168,8.743,10.195,11.291,13.370,15.264,0.135
35,86.400,7.778,3.481,5.857,7.450,9.076,11.317,12.786,14.718,15.725,0.129
40,84.000,7.953,4.112,6.096,7.697,9.272,11.639,12.551,14.448,16.318,0.126
45,91.200,7.602,3.669,5.803,7.281,8.804,10.839,12.561,14.338,15.916,0.132
50,89.600,7.401,3.556,5.701,7.183,8.637,10.451,11.551,15.166,16.951,0.135
55,86.800,7.660,3.870,5.964,7.471,8.883,10.599,11.729,14.773,17.685,0.131
