Time (seconds),Requests,Throughput (requests/second),Minimum Latency (microseconds),25th Percentile Latency (microseconds),Median Latency (microseconds),Average Latency (microseconds),75th Percentile Latency (microseconds),90th Percentile Latency (microseconds),95th Percentile Latency (microseconds),99th Percentile Latency (microseconds),Maximum Latency (microseconds)
0,192,192.000,1481,2118,3544,5206,7380,9426,12539,19454,24450
1,180,180.000,1150,2052,5202,5613,8006,9903,14217,18208,19696
2,205,205.000,1022,1936,3935,4807,7362,9160,10252,16536,17520
3,218,218.000,854,1823,4314,4573,6639,8595,9516,15794,16432
4,217,217.000,1054,1828,4406,4628,6595,8450,9676,15270,16458
5,226,226.000,792,1768,2251,4413,6594,8439,9778,16382,17058
6,194,194.000,857,2001,2735,5147,7940,10157,15011,19430,19913
7,188,188.000,948,1993,5298,5323,7908,9432,10277,17727,20272
8,199,199.000,855,1988,2788,4991,7650,9741,10636,18881,19925
9,191,191.000,873,1926,4841,5244,7739,9475,11122,20208,27773
10,220,220.000,845,1810,2097,4586,6642,8926,15294,17777,22541
11,187,187.000,808,1867,4534,5272,7751,9512,15460,20014,22242
12,199,199.000,911,1833,4546,5018,7356,9155,10803,18611,21647
13,217,217.000,898,1771,2960,4599,6833,8600,10011,17010,26072
14,190,190.000,899,1831,5195,5270,7768,9328,15042,17918,18191
15,219,219.000,889,1752,2125,4552,6937,8426,11444,16277,18454
16,206,206.000,851,1796,4723,4904,6981,8631,9839,16552,19891
17,189,189.000,675,1703,4172,5228,7174,13827,15506,19912,24120
18,216,216.000,833,1750,4199,4619,6592,8508,10115,17732,20153
19,210,210.000,820,1765,4308,4785,6950,8575,13318,17158,18861
20,218,218.000,800,1746,3381,4560,7010,8949,11350,15447,17230
21,210,210.000,758,1702,3729,4782,7441,8893,11434,17481,21053
22,207,207.000,616,1745,4315,4805,7059,8786,11567,16101,16171
23,207,207.000,740,1752,4252,4844,7372,8900,13203,16665,19064
24,220,220.000,700,1753,2534,4522,7116,8680,9259,15607,18085
25,201,201.000,827,1792,4715,4970,7258,8765,9757,16340,18890
26,216,216.000,840,1776,2662,4610,6993,8831,12139,15811,20873
27,207,207.000,890,1833,4439,4853,7254,8811,9590,17756,18652
28,210,210.000,786,1781,4375,4739,6670,8756,14251,18206,23273
29,217,217.000,850,1814,2474,4615,7219,8914,9593,16045,23443
30,209,209.000,884,1807,3739,4811,6591,9168,12965,20160,23288
31,186,186.000,754,1837,4576,5319,7648,10223,16058,17687,18908
32,203,203.000,838,1809,4445,4919,7631,8993,10734,15848,16497
33,184,184.000,789,1813,5018,5449,7771,9840,14723,17995,18087
34,233,233.000,633,1728,2039,4272,6477,8558,10140,15066,19938
35,226,226.000,757,1729,2113,4415,6766,8767,10587,16843,17877
36,237,237.000,666,1744,2224,4214,6674,8162,8870,15278,15665
37,234,234.000,814,1772,2128,4288,6605,8351,9112,15517,15641
38,222,222.000,688,1770,3295,4486,6373,8716,10727,15591,17472
39,218,218.000,746,1740,2810,4580,6929,8916,9809,16324,18249
40,216,216.000,779,1770,2302,4656,7021,8859,11755,16964,20356
41,228,228.000,840,1781,2091,4397,6757,8425,9279,16001,18191
42,211,211.000,825,1767,2139,4705,7227,8950,15071,17396,18719
43,194,194.000,800,1775,4194,5149,7974,10263,15283,17412,19328
44,211,211.000,800,1762,4205,4738,7056,9038,11195,15894,19984
45,221,221.000,778,1697,3903,4515,6571,8493,13625,15235,16659
46,215,215.000,731,1717,4196,4667,7186,8319,12516,15984,17964
47,198,198.000,803,1781,4315,5026,7226,9229,14397,22785,23041
48,212,212.000,861,1809,4391,4711,7163,8607,9478,15968,16325
49,201,201.000,838,1816,4513,4981,7607,9028,11034,16215,17291
50,210,210.000,762,1780,2276,4738,7376,8965,11683,19123,24545
51,198,198.000,870,1806,4805,5061,7751,8867,10199,19433,21460
52,239,239.000,748,1705,1949,4163,6502,8443,10697,16031,16567
53,222,222.000,787,1750,4259,4514,6691,8507,9344,15711,15899
54,217,217.000,725,1722,3881,4594,7053,8564,9565,15812,18850
55,210,210.000,802,1755,4668,4768,7206,8539,9697,15802,16691
56,242,242.000,733,1686,2470,4128,6494,7814,8702,15559,17429
57,204,204.000,748,1781,4211,4894,7568,8804,10991,15858,19698
58,230,230.000,691,1742,2085,4341,6536,8636,10100,17573,19869
59,193,193.000,684,1766,4726,5132,7229,10039,14909,16343,17784
