Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,937.800,1.740,1.247,1.601,1.714,1.832,1.958,2.051,2.418,8.755,0.575
5,952.400,1.717,1.201,1.575,1.697,1.824,1.947,2.036,2.347,8.618,0.582
10,930.200,1.751,1.191,1.591,1.725,1.863,1.998,2.094,2.480,7.073,0.571
15,931.400,1.749,1.198,1.585,1.717,1.863,2.000,2.094,2.442,7.354,0.572
20,912.800,1.763,1.255,1.614,1.735,1.868,1.997,2.103,2.451,7.397,0.567
25,946.600,1.754,1.184,1.611,1.721,1.836,1.974,2.097,2.594,7.277,0.570
30,917.000,1.746,1.208,1.586,1.714,1.848,1.977,2.092,2.608,9.495,0.573
35,906.000,1.766,1.224,1.597,1.728,1.879,2.016,2.116,2.487,10.078,0.566
40,911.600,1.755,1.191,1.587,1.716,1.854,1.996,2.088,2.340,10.086,0.570
45,942.800,1.740,1.199,1.590,1.712,1.841,1.972,2.055,2.384,9.042,0.575
50,954.800,1.744,1.205,1.591,1.716,1.847,1.981,2.081,2.443,9.038,0.573
55,905.600,1.735,1.238,1.573,1.699,1.834,1.969,2.083,2.494,9.333,0.576
60,928.600,1.757,1.265,1.612,1.731,1.854,1.975,2.081,2.393,7.837,0.569
65,958.600,1.744,1.253,1.594,1.719,1.838,1.970,2.057,2.391,7.860,0.573
70,951.200,1.720,1.196,1.568,1.693,1.828,1.955,2.048,2.381,9.044,0.582
75,942.400,1.747,1.212,1.592,1.721,1.848,1.978,2.083,2.463,7.812,0.573
80,971.200,1.741,1.220,1.590,1.710,1.833,1.977,2.086,2.510,8.568,0.574
85,937.000,1.769,1.232,1.599,1.728,1.872,2.022,2.136,2.709,9.645,0.565
90,952.400,1.718,1.193,1.571,1.693,1.819,1.950,2.040,2.326,9.908,0.582
95,909.600,1.760,1.213,1.597,1.716,1.850,1.991,2.094,2.494,10.135,0.568
100,924.600,1.717,1.183,1.559,1.684,1.820,1.947,2.028,2.300,9.665,0.583
105,956.200,1.758,1.191,1.601,1.716,1.855,1.988,2.081,2.488,10.187,0.569
110,945.600,1.740,1.226,1.584,1.708,1.837,1.971,2.080,2.458,9.833,0.575
115,951.200,1.739,1.215,1.578,1.702,1.835,1.970,2.083,2.417,9.012,0.575
120,969.800,1.736,1.235,1.587,1.704,1.820,1.953,2.049,2.556,7.947,0.576
125,951.200,1.721,1.174,1.570,1.690,1.824,1.956,2.066,2.483,7.863,0.581
130,960.400,1.707,1.237,1.567,1.682,1.804,1.927,2.015,2.271,8.663,0.586
135,939.800,1.736,1.213,1.579,1.708,1.842,1.972,2.074,2.412,7.577,0.576
140,969.000,1.731,1.215,1.573,1.705,1.833,1.967,2.054,2.332,7.617,0.578
145,921.200,1.732,1.213,1.576,1.706,1.834,1.970,2.069,2.390,9.433,0.577
150,945.200,1.748,1.250,1.600,1.724,1.857,1.984,2.069,2.319,10.221,0.572
155,896.600,1.746,1.238,1.598,1.716,1.837,1.979,2.068,2.489,10.133,0.573
160,924.400,1.766,1.260,1.611,1.732,1.858,1.992,2.101,2.471,8.841,0.566
165,916.800,1.774,1.229,1.611,1.733,1.864,2.004,2.128,2.626,13.160,0.564
170,964.400,1.745,1.220,1.575,1.711,1.870,2.011,2.104,2.389,8.680,0.573
175,910.600,1.765,1.230,1.604,1.737,1.876,2.024,2.134,2.487,8.320,0.567
