Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,240.000,4.161,0.456,2.650,3.515,5.322,6.435,8.023,12.075,58.295,0.240
5,247.200,4.043,0.428,2.689,3.522,5.131,6.322,6.876,11.427,120.544,0.247
10,254.600,3.922,0.415,2.702,3.496,5.097,6.083,6.759,10.761,14.493,0.255
15,253.400,3.944,0.392,2.620,3.389,5.018,6.249,6.980,10.997,51.933,0.254
20,253.800,3.938,0.392,2.329,3.283,5.090,6.358,10.128,10.912,13.496,0.254
25,268.400,3.722,0.374,2.133,3.126,4.837,6.052,6.791,10.722,11.293,0.269
30,264.400,3.782,0.398,2.056,3.465,5.147,6.197,7.360,10.812,13.386,0.264
35,283.200,3.530,0.410,2.028,2.454,4.871,5.912,6.414,10.057,64.599,0.283
40,297.000,3.362,0.387,1.904,3.071,4.606,5.574,6.462,9.821,11.741,0.297
45,308.400,3.240,0.384,1.849,2.257,4.479,5.434,6.403,9.007,10.298,0.309
50,305.800,3.268,0.386,1.874,2.829,4.493,5.342,5.835,8.965,45.787,0.306
55,307.000,3.253,0.379,1.861,2.311,4.523,5.474,6.997,9.099,12.050,0.307
