Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,10.200,1.143,0.754,1.019,1.121,1.231,1.344,1.453,2.026,2.026,0.875
5,11.200,1.092,0.710,1.000,1.106,1.178,1.260,1.291,1.344,1.344,0.916
10,8.800,1.112,0.705,1.026,1.139,1.213,1.257,1.274,1.302,1.302,0.900
15,8.600,1.102,0.738,1.046,1.131,1.208,1.248,1.281,1.324,1.324,0.907
20,8.800,1.087,0.846,1.010,1.060,1.170,1.261,1.345,1.372,1.372,0.920
25,11.000,1.027,0.643,0.985,1.053,1.119,1.163,1.203,1.272,1.272,0.974
30,11.600,1.187,0.855,1.061,1.188,1.306,1.388,1.503,1.561,1.561,0.843
35,10.800,1.272,0.884,1.190,1.262,1.350,1.409,1.517,1.709,1.709,0.786
40,13.000,1.212,0.868,1.119,1.210,1.288,1.363,1.417,1.566,1.566,0.825
45,13.800,1.159,0.833,1.066,1.186,1.252,1.340,1.371,1.527,1.527,0.863
50,11.800,1.176,0.837,1.103,1.153,1.273,1.351,1.410,1.432,1.432,0.850
55,11.600,1.241,0.905,1.145,1.246,1.346,1.404,1.444,1.462,1.462,0.806
