Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,107.000,5.178,3.066,4.191,5.150,5.964,6.620,7.058,8.224,15.583,0.193
5,117.000,5.045,2.089,4.152,4.991,5.876,6.481,6.721,7.717,12.687,0.198
10,117.800,4.994,2.226,4.236,4.931,5.677,6.298,6.580,8.160,9.153,0.200
15,115.200,5.030,1.789,4.092,4.901,5.783,6.367,6.674,7.534,51.933,0.199
20,110.400,4.976,1.732,4.134,4.859,5.708,6.390,6.631,7.854,13.496,0.201
25,112.200,4.894,1.762,4.048,4.846,5.596,6.319,6.582,7.721,8.932,0.204
30,118.800,5.099,2.318,4.260,5.033,5.807,6.373,6.956,7.791,11.940,0.196
35,124.200,5.024,1.928,4.126,4.860,5.645,6.162,6.392,7.749,64.599,0.199
40,135.200,4.576,2.097,3.805,4.547,5.268,5.691,6.112,7.137,8.001,0.219
45,134.600,4.403,1.719,3.709,4.374,5.058,5.514,5.676,6.648,7.941,0.227
50,140.200,4.437,1.850,3.759,4.401,5.054,5.466,5.686,7.079,8.464,0.225
55,131.000,4.463,2.173,3.744,4.415,5.100,5.536,5.708,7.099,9.561,0.224
