Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,11.200,1.338,0.435,0.694,1.529,1.690,1.906,2.221,2.479,2.479,0.748
5,9.800,1.058,0.417,0.466,1.420,1.528,1.567,1.586,1.699,1.699,0.946
10,8.600,0.761,0.438,0.466,0.517,0.695,1.576,1.588,2.931,2.931,1.313
15,15.200,0.485,0.401,0.442,0.456,0.487,0.522,0.629,1.804,1.804,2.061
20,11.200,0.445,0.376,0.427,0.440,0.452,0.500,0.509,0.587,0.587,2.246
25,10.400,0.451,0.390,0.430,0.440,0.463,0.489,0.529,0.679,0.679,2.220
30,11.400,0.441,0.396,0.421,0.436,0.448,0.477,0.514,0.573,0.573,2.269
35,12.200,0.443,0.396,0.421,0.433,0.449,0.481,0.512,0.666,0.666,2.258
40,10.600,0.433,0.378,0.419,0.428,0.441,0.457,0.496,0.533,0.533,2.311
45,8.600,0.429,0.381,0.417,0.423,0.437,0.456,0.494,0.525,0.525,2.328
50,10.400,0.431,0.371,0.406,0.418,0.432,0.465,0.561,0.630,0.630,2.320
55,15.400,0.424,0.377,0.402,0.415,0.433,0.483,0.512,0.542,0.542,2.360
