Transaction Type Index,Transaction Name,Start Time (microseconds),Latency (microseconds),Worker Id (start number),Phase Id (index in config file)
4,Delivery,1694006922.090445,11427,0,1
2,Payment,1694006922.101884,2305,0,1
1,NewOrder,1694006922.104198,6469,0,1
1,NewOrder,1694006922.110678,3577,0,1
2,Payment,1694006922.114265,1946,0,1
5,StockLevel,1694006922.116220,1702,0,1
5,StockLevel,1694006922.117931,4749,0,1
1,NewOrder,1694006922.122689,4395,0,1
1,NewOrder,1694006922.127094,4466,0,1
1,NewOrder,1694006922.131568,3896,0,1
2,Payment,1694006922.135473,3799,0,1
1,NewOrder,1694006922.139292,3975,0,1
2,Payment,1694006922.143284,2164,0,1
2,Payment,1694006922.145462,2151,0,1
1,NewOrder,1694006922.147625,5977,0,1
5,StockLevel,1694006922.153620,1261,0,1
1,NewOrder,1694006922.154893,5959,0,1
2,Payment,1694006922.160866,2449,0,1
1,NewOrder,1694006922.163327,5408,0,1
1,NewOrder,1694006922.168749,5967,0,1
1,NewOrder,1694006922.174729,4342,0,1
1,NewOrder,1694006922.179081,3409,0,1
1,NewOrder,1694006922.182499,5112,0,1
2,Payment,1694006922.187625,3365,0,1
1,NewOrder,1694006922.191003,6796,0,1
3,OrderStatus,1694006922.197812,1533,0,1
1,NewOrder,1694006922.199356,3958,0,1
1,NewOrder,1694006922.203324,5524,0,1
1,NewOrder,1694006922.208859,5212,0,1
5,StockLevel,1694006922.214082,1388,0,1
1,NewOrder,1694006922.215480,5024,0,1
2,Payment,1694006922.220518,2437,0,1
2,Payment,1694006922.222967,2171,0,1
2,Payment,1694006922.225149,2022,0,1
2,Payment,1694006922.227180,2020,0,1
2,Payment,1694006922.229210,2209,0,1
1,NewOrder,1694006922.231429,4921,0,1
2,Payment,1694006922.236359,2245,0,1
2,Payment,1694006922.238614,2151,0,1
2,Payment,1694006922.240775,2247,0,1
1,NewOrder,1694006922.243031,4064,0,1
1,NewOrder,1694006922.247106,6612,0,1
1,NewOrder,1694006922.253730,4144,0,1
4,Delivery,1694006922.257883,10729,0,1
1,NewOrder,1694006922.268628,4645,0,1
2,Payment,1694006922.273285,2200,0,1
2,Payment,1694006922.275497,2310,0,1
1,NewOrder,1694006922.277820,3388,0,1
2,Payment,1694006922.281218,1967,0,1
2,Payment,1694006922.283194,1929,0,1
1,NewOrder,1694006922.285133,5562,0,1
1,NewOrder,1694006922.290709,4575,0,1
4,Delivery,1694006922.295298,11690,0,1
1,NewOrder,1694006922.307003,6219,0,1
2,Payment,1694006922.313235,2015,0,1
1,NewOrder,1694006922.315261,5170,0,1
1,NewOrder,1694006922.320441,4381,0,1
1,NewOrder,1694006922.324831,5362,0,1
2,Payment,1694006922.330202,2427,0,1
2,Payment,1694006922.332639,2170,0,1
2,Payment,1694006922.334819,2084,0,1
2,Payment,1694006922.336912,1940,0,1
2,Payment,1694006922.338861,1962,0,1
