Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,13.400,1.208,0.417,0.704,1.131,1.312,1.752,2.390,6.866,6.866,0.828
5,15.400,0.791,0.400,0.484,0.539,1.142,1.351,1.434,1.552,1.552,1.263
10,17.400,0.488,0.433,0.463,0.474,0.502,0.520,0.537,0.749,0.749,2.050
15,18.600,0.421,0.378,0.401,0.412,0.423,0.452,0.524,0.622,0.622,2.378
20,17.800,0.412,0.352,0.394,0.408,0.423,0.440,0.453,0.612,0.612,2.429
25,17.200,0.416,0.371,0.391,0.406,0.423,0.466,0.505,0.652,0.652,2.402
30,23.000,0.408,0.363,0.390,0.403,0.414,0.440,0.487,0.510,0.514,2.452
35,19.400,0.399,0.358,0.382,0.396,0.409,0.430,0.446,0.486,0.486,2.508
40,18.800,0.417,0.368,0.397,0.415,0.431,0.447,0.474,0.516,0.516,2.401
45,19.600,0.412,0.353,0.381,0.396,0.411,0.443,0.544,0.957,0.957,2.427
50,22.400,0.396,0.358,0.381,0.392,0.405,0.423,0.439,0.487,0.518,2.525
55,15.600,0.393,0.361,0.377,0.389,0.398,0.410,0.423,0.730,0.730,2.543
