Time (seconds),Requests,Throughput (requests/second),Minimum Latency (microseconds),25th Percentile Latency (microseconds),Median Latency (microseconds),Average Latency (microseconds),75th Percentile Latency (microseconds),90th Percentile Latency (microseconds),95th Percentile Latency (microseconds),99th Percentile Latency (microseconds),Maximum Latency (microseconds)
0,300,300.000,738,1642,2992,3320,4354,5524,8996,11372,18925
1,382,382.000,559,1386,1708,2626,3874,4877,5356,8957,9237
2,387,387.000,493,1374,1608,2566,3799,4734,5281,10125,11287
3,387,387.000,419,1450,1691,2574,3477,4784,5294,8994,10430
4,380,380.000,474,1469,1822,2628,3726,4761,5322,9174,9492
5,345,345.000,419,1444,2370,2896,4016,5201,8729,9980,12488
6,362,362.000,420,1497,2294,2754,3900,4830,5649,9451,10215
7,359,359.000,447,1442,2286,2782,3889,4936,8690,9685,10960
8,362,362.000,409,1487,2205,2758,3858,4871,8749,9205,9856
9,381,381.000,398,1461,1712,2619,3663,4733,5218,9104,11044
10,359,359.000,421,1180,1799,2782,3967,5068,8692,9621,10348
11,381,381.000,406,1140,1753,2617,3687,4731,5269,8972,9715
12,372,372.000,419,1263,2351,2684,3830,4851,5217,9075,11678
13,368,368.000,381,1488,2337,2711,3982,4728,5281,8926,9123
14,358,358.000,399,1480,2108,2788,3844,4929,8650,9232,11542
15,382,382.000,393,1500,1735,2615,3622,4702,5343,9013,9888
16,383,383.000,402,1146,1623,2601,3604,4980,5432,9882,13552
17,408,408.000,418,1159,1607,2447,3252,4744,5364,9369,12278
18,369,369.000,391,1492,2058,2702,4023,5003,5585,9358,13241
19,359,359.000,452,1509,2386,2781,4026,4875,6408,9399,10213
20,362,362.000,390,1486,2312,2760,3989,5119,5661,11490,12895
21,387,387.000,419,973,1650,2584,3627,4778,5767,10299,12152
22,371,371.000,360,1162,1740,2684,4043,4889,5802,8904,13436
23,364,364.000,396,1490,2172,2742,3905,5165,5921,9210,10478
24,373,373.000,363,1518,2043,2679,3705,4876,5537,9534,11032
25,374,374.000,400,1263,1741,2680,3928,4908,5463,9681,13867
26,387,387.000,394,1178,1636,2566,3657,4851,5436,9035,12106
27,367,367.000,380,1168,1709,2726,3889,5093,5818,9879,11638
28,388,388.000,392,1503,1645,2568,3410,4585,5561,9463,13076
29,367,367.000,407,1192,1760,2724,3851,4846,7846,9983,11194
30,349,349.000,404,1554,2322,2858,3925,4994,6759,9937,12517
31,363,363.000,392,1520,1694,2750,4018,5054,5877,9797,11183
32,363,363.000,388,1231,2073,2752,4052,5090,5445,10125,12810
33,395,395.000,395,1496,1631,2533,3587,4676,5564,9109,10386
34,384,384.000,385,1471,1639,2602,3798,4725,5226,9133,9727
35,367,367.000,386,1498,2224,2713,3915,5054,5538,9327,12102
36,353,353.000,386,1271,2145,2833,3821,5055,9259,10621,12221
37,438,438.000,398,826,1041,2274,3390,4445,6598,8864,11388
38,472,472.000,388,821,1018,2114,3074,4108,5212,7504,12544
39,442,442.000,393,842,1656,2269,3392,4421,5972,7666,8988
40,445,445.000,401,839,2112,2235,3257,4206,4624,7618,8472
41,426,426.000,404,840,1779,2346,3572,4298,7337,7896,10718
42,446,446.000,388,840,1042,2237,3508,4439,4795,7877,9875
43,445,445.000,392,837,1010,2246,3442,4284,4765,7658,8401
44,436,436.000,396,826,2111,2292,3312,4270,5906,8161,10341
45,435,435.000,379,803,1967,2296,3427,4323,7023,7694,9506
46,446,446.000,377,822,1081,2235,3458,4380,5802,7863,9955
47,440,440.000,382,834,2148,2269,3358,4352,4800,7718,9656
48,443,443.000,368,817,1709,2251,3400,4394,5530,8034,9953
49,453,453.000,376,826,1337,2199,3458,4339,5017,7574,10837
50,464,464.000,374,814,1101,2159,3223,4245,4792,7492,13467
51,453,453.000,385,809,1032,2197,3465,4361,4920,7701,9062
52,444,444.000,363,811,2028,2254,3447,4291,4756,7157,9354
53,439,439.000,375,813,1483,2274,3416,4376,5712,7965,10710
54,432,432.000,390,826,2105,2310,3401,4326,5305,7515,10248
55,439,439.000,383,808,2020,2268,3471,4277,5157,7670,9999
56,453,453.000,383,812,1067,2204,3276,4290,6105,7972,10480
57,460,460.000,362,798,1080,2169,3297,4164,5205,7594,8928
58,475,475.000,366,799,944,2109,3165,4074,6121,7997,11045
59,471,471.000,384,807,963,2105,3227,4195,4682,7502,8318
