Transaction Type Index,Transaction Name,Start Time (microseconds),Latency (microseconds),Worker Id (start number),Phase Id (index in config file)
1,NewOrder,1694002483.517524,5951,0,1
2,Payment,1694002483.523500,2629,0,1
1,NewOrder,1694002483.526151,5297,0,1
3,OrderStatus,1694002483.531471,2979,0,1
1,NewOrder,1694002483.534475,7604,0,1
2,Payment,1694002483.542106,3408,0,1
2,Payment,1694002483.545536,2147,0,1
2,Payment,1694002483.547705,2163,0,1
1,NewOrder,1694002483.549887,4023,0,1
2,Payment,1694002483.553933,3814,0,1
1,NewOrder,1694002483.557770,5832,0,1
2,Payment,1694002483.563628,2215,0,1
1,NewOrder,1694002483.565867,5691,0,1
1,NewOrder,1694002483.571584,7991,0,1
1,NewOrder,1694002483.579600,5225,0,1
3,OrderStatus,1694002483.584847,1470,0,1
1,NewOrder,1694002483.586338,4673,0,1
1,NewOrder,1694002483.591033,4345,0,1
2,Payment,1694002483.595400,3373,0,1
2,Payment,1694002483.598792,2354,0,1
3,OrderStatus,1694002483.601161,1573,0,1
1,NewOrder,1694002483.602750,4580,0,1
1,NewOrder,1694002483.607354,5167,0,1
2,Payment,1694002483.612544,3212,0,1
1,NewOrder,1694002483.615773,4786,0,1
2,Payment,1694002483.620578,3133,0,1
1,NewOrder,1694002483.623725,6845,0,1
4,Delivery,1694002483.630590,11887,0,1
1,NewOrder,1694002483.642504,5386,0,1
1,NewOrder,1694002483.647920,6847,0,1
2,Payment,1694002483.654797,3317,0,1
3,OrderStatus,1694002483.658140,2739,0,1
1,NewOrder,1694002483.660906,8943,0,1
1,NewOrder,1694002483.669876,8409,0,1
2,Payment,1694002483.678317,2385,0,1
2,Payment,1694002483.680730,3256,0,1
2,Payment,1694002483.684006,1990,0,1
2,Payment,1694002483.686013,2393,0,1
1,NewOrder,1694002483.688424,3790,0,1
2,Payment,1694002483.692236,3154,0,1
4,Delivery,1694002483.695413,11639,0,1
1,NewOrder,1694002483.707078,5067,0,1
1,NewOrder,1694002483.712167,6808,0,1
5,StockLevel,1694002483.718998,1181,0,1
1,NewOrder,1694002483.720189,3489,0,1
2,Payment,1694002483.723688,3201,0,1
1,NewOrder,1694002483.726900,4530,0,1
2,Payment,1694002483.731446,3183,0,1
4,Delivery,1694002483.734647,13479,0,1
2,Payment,1694002483.748150,2198,0,1
1,NewOrder,1694002483.750361,6710,0,1
2,Payment,1694002483.757092,2238,0,1
2,Payment,1694002483.759347,3021,0,1
2,Payment,1694002483.762381,4624,0,1
3,OrderStatus,1694002483.767021,1821,0,1
2,Payment,1694002483.768854,3033,0,1
1,NewOrder,1694002483.771900,5318,0,1
2,Payment,1694002483.777233,2894,0,1
1,NewOrder,1694002483.780137,4726,0,1
1,NewOrder,1694002483.784876,6149,0,1
2,Payment,1694002483.791040,2893,0,1
2,Payment,1694002483.793943,2142,0,1
5,StockLevel,1694002483.796095,1450,0,1
2,Payment,1694002483.797554,2806,0,1
1,NewOrder,1694002483.800370,5176,0,1
1,NewOrder,1694002483.805559,5375,0,1
1,NewOrder,1694002483.810954,5219,0,1
2,Payment,1694002483.816193,3343,0,1
1,NewOrder,1694002483.819548,6261,0,1
2,Payment,1694002483.825825,3075,0,1
2,Payment,1694002483.828912,3157,0,1
2,Payment,1694002483.832087,3026,0,1
1,NewOrder,1694002483.835128,5561,0,1
1,NewOrder,1694002483.840702,5224,0,1
2,Payment,1694002483.845940,2378,0,1
2,Payment,1694002483.848332,3477,0,1
1,NewOrder,1694002483.851824,3535,0,1
1,NewOrder,1694002483.855369,5482,0,1
2,Payment,1694002483.860863,2316,0,1
2,Payment,1694002483.863190,2015,0,1
1,NewOrder,1694002483.865217,3868,0,1
2,Payment,1694002483.869097,2745,0,1
2,Payment,1694002483.871853,2904,0,1
3,OrderStatus,1694002483.874769,710,0,1
2,Payment,1694002483.875488,5700,0,1
2,Payment,1694002483.881202,1979,0,1
1,NewOrder,1694002483.883191,4666,0,1
1,NewOrder,1694002483.887867,5578,0,1
4,Delivery,1694002483.893466,11147,0,1
2,Payment,1694002483.904637,3228,0,1
1,NewOrder,1694002483.907880,3928,0,1
1,NewOrder,1694002483.911824,3635,0,1
1,NewOrder,1694002483.915472,6487,0,1
1,NewOrder,1694002483.921975,3846,0,1
2,Payment,1694002483.925836,3416,0,1
1,NewOrder,1694002483.929264,5192,0,1
1,NewOrder,1694002483.934488,5194,0,1
2,Payment,1694002483.939713,2344,0,1
2,Payment,1694002483.942069,2317,0,1
2,Payment,1694002483.944398,2132,0,1
1,NewOrder,1694002483.946540,5021,0,1
2,Payment,1694002483.951576,1905,0,1
2,Payment,1694002483.953492,3129,0,1
1,NewOrder,1694002483.956632,5632,0,1
2,Payment,1694002483.962282,2778,0,1
1,NewOrder,1694002483.965073,4118,0,1
2,Payment,1694002483.969203,2888,0,1
2,Payment,1694002483.972102,2075,0,1
1,NewOrder,1694002483.974187,4509,0,1
1,NewOrder,1694002483.978710,5916,0,1
1,NewOrder,1694002483.984640,5878,0,1
2,Payment,1694002483.990536,2318,0,1
2,Payment,1694002483.992866,2797,0,1
4,Delivery,1694002483.995697,11662,0,1
2,Payment,1694002484.007401,2172,0,1
1,NewOrder,1694002484.009587,5392,0,1
1,NewOrder,1694002484.014991,6301,0,1
2,Payment,1694002484.021304,2072,0,1
1,NewOrder,1694002484.023387,5752,0,1
1,NewOrder,1694002484.029155,5734,0,1
4,Delivery,1694002484.034905,11092,0,1
2,Payment,1694002484.046022,2268,0,1
1,NewOrder,1694002484.048303,7581,0,1
1,NewOrder,1694002484.055915,5867,0,1
1,NewOrder,1694002484.061808,6192,0,1
1,NewOrder,1694002484.068026,7156,0,1
2,Payment,1694002484.075210,3304,0,1
5,StockLevel,1694002484.078539,1081,0,1
2,Payment,1694002484.079633,2403,0,1
1,NewOrder,1694002484.082054,4300,0,1
2,Payment,1694002484.086373,2143,0,1
1,NewOrder,1694002484.088557,5212,0,1
1,NewOrder,1694002484.093794,7265,0,1
1,NewOrder,1694002484.101087,4870,0,1
2,Payment,1694002484.105978,2175,0,1
1,NewOrder,1694002484.108171,5059,0,1
2,Payment,1694002484.113251,2180,0,1
2,Payment,1694002484.115449,2003,0,1
1,NewOrder,1694002484.117467,44055,0,1
1,NewOrder,1694002484.161556,6414,0,1
2,Payment,1694002484.168002,3368,0,1
2,Payment,1694002484.171398,2242,0,1
4,Delivery,1694002484.173662,11691,0,1
2,Payment,1694002484.185383,3206,0,1
1,NewOrder,1694002484.188605,4184,0,1
1,NewOrder,1694002484.192810,5957,0,1
2,Payment,1694002484.198793,2837,0,1
2,Payment,1694002484.201645,2742,0,1
2,Payment,1694002484.204399,4154,0,1
2,Payment,1694002484.208569,2123,0,1
1,NewOrder,1694002484.210705,7436,0,1
2,Payment,1694002484.218161,2958,0,1
1,NewOrder,1694002484.221133,3998,0,1
4,Delivery,1694002484.225146,10929,0,1
1,NewOrder,1694002484.236093,3604,0,1
1,NewOrder,1694002484.239715,4248,0,1
1,NewOrder,1694002484.243987,5887,0,1
1,NewOrder,1694002484.249894,5292,0,1
1,NewOrder,1694002484.255206,3991,0,1
2,Payment,1694002484.259208,2057,0,1
2,Payment,1694002484.261277,3766,0,1
2,Payment,1694002484.265055,2137,0,1
2,Payment,1694002484.267201,1994,0,1
1,NewOrder,1694002484.269205,4237,0,1
1,NewOrder,1694002484.273454,4838,0,1
2,Payment,1694002484.278307,2051,0,1
1,NewOrder,1694002484.280371,6363,0,1
5,StockLevel,1694002484.286755,1219,0,1
4,Delivery,1694002484.287983,10655,0,1
3,OrderStatus,1694002484.298660,1174,0,1
1,NewOrder,1694002484.299874,8596,0,1
2,Payment,1694002484.308500,2454,0,1
1,NewOrder,1694002484.310970,4161,0,1
1,NewOrder,1694002484.315163,5468,0,1
1,NewOrder,1694002484.320654,4015,0,1
1,NewOrder,1694002484.324687,4445,0,1
1,NewOrder,1694002484.329148,5278,0,1
3,OrderStatus,1694002484.334451,2136,0,1
5,StockLevel,1694002484.336605,1235,0,1
2,Payment,1694002484.337852,2278,0,1
1,NewOrder,1694002484.340144,6401,0,1
2,Payment,1694002484.346572,3146,0,1
2,Payment,1694002484.349734,1884,0,1
2,Payment,1694002484.351631,3111,0,1
4,Delivery,1694002484.354755,11636,0,1
2,Payment,1694002484.366413,3002,0,1
2,Payment,1694002484.369431,3150,0,1
1,NewOrder,1694002484.372598,3951,0,1
2,Payment,1694002484.376565,3415,0,1
2,Payment,1694002484.380017,2523,0,1
2,Payment,1694002484.382552,2054,0,1
2,Payment,1694002484.384630,3010,0,1
3,OrderStatus,1694002484.387654,864,0,1
1,NewOrder,1694002484.388531,6592,0,1
4,Delivery,1694002484.395152,11916,0,1
1,NewOrder,1694002484.407093,7441,0,1
1,NewOrder,1694002484.414558,4791,0,1
1,NewOrder,1694002484.419367,4302,0,1
2,Payment,1694002484.423684,3140,0,1
1,NewOrder,1694002484.426847,5514,0,1
5,StockLevel,1694002484.432384,960,0,1
1,NewOrder,1694002484.433353,3864,0,1
2,Payment,1694002484.437235,2882,0,1
2,Payment,1694002484.440137,2627,0,1
1,NewOrder,1694002484.442777,5343,0,1
2,Payment,1694002484.448138,2976,0,1
1,NewOrder,1694002484.451126,4195,0,1
2,Payment,1694002484.455336,2027,0,1
2,Payment,1694002484.457375,2907,0,1
2,Payment,1694002484.460294,2972,0,1
1,NewOrder,1694002484.463280,4375,0,1
5,StockLevel,1694002484.467672,979,0,1
2,Payment,1694002484.468663,2767,0,1
1,NewOrder,1694002484.471443,4220,0,1
3,OrderStatus,1694002484.475682,1841,0,1
1,NewOrder,1694002484.477536,3313,0,1
1,NewOrder,1694002484.480863,4393,0,1
1,NewOrder,1694002484.485272,6665,0,1
2,Payment,1694002484.491955,2077,0,1
1,NewOrder,1694002484.494044,5525,0,1
2,Payment,1694002484.499592,1939,0,1
1,NewOrder,1694002484.501543,3497,0,1
1,NewOrder,1694002484.505054,3333,0,1
1,NewOrder,1694002484.508400,4660,0,1
1,NewOrder,1694002484.513073,3691,0,1
2,Payment,1694002484.516776,4294,0,1
5,StockLevel,1694002484.521084,807,0,1
1,NewOrder,1694002484.521899,3520,0,1
2,Payment,1694002484.525430,1942,0,1
4,Delivery,1694002484.527384,10493,0,1
2,Payment,1694002484.537899,3037,0,1
3,OrderStatus,1694002484.540952,522,0,1
2,Payment,1694002484.541482,1811,0,1
2,Payment,1694002484.543302,3045,0,1
1,NewOrder,1694002484.546360,6055,0,1
1,NewOrder,1694002484.552432,4945,0,1
1,NewOrder,1694002484.557397,5672,0,1
4,Delivery,1694002484.563086,10859,0,1
2,Payment,1694002484.573968,3075,0,1
1,NewOrder,1694002484.577059,4070,0,1
1,NewOrder,1694002484.581148,6000,0,1
3,OrderStatus,1694002484.587197,1903,0,1
5,StockLevel,1694002484.589134,1098,0,1
1,NewOrder,1694002484.590240,4379,0,1
2,Payment,1694002484.594628,1979,0,1
2,Payment,1694002484.596615,2900,0,1
4,Delivery,1694002484.599524,11139,0,1
1,NewOrder,1694002484.610680,5158,0,1
1,NewOrder,1694002484.615850,5969,0,1
1,NewOrder,1694002484.621832,5125,0,1
2,Payment,1694002484.626971,3049,0,1
1,NewOrder,1694002484.630037,4247,0,1
3,OrderStatus,1694002484.634297,1700,0,1
1,NewOrder,1694002484.636006,4704,0,1
2,Payment,1694002484.640729,3247,0,1
1,NewOrder,1694002484.643992,4056,0,1
1,NewOrder,1694002484.648059,3802,0,1
2,Payment,1694002484.651871,2920,0,1
1,NewOrder,1694002484.654801,4303,0,1
