Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,12.600,1.105,0.812,0.961,1.087,1.204,1.295,1.477,2.022,2.022,0.905
5,10.400,1.019,0.738,0.930,1.026,1.099,1.168,1.181,1.345,1.345,0.982
10,12.400,1.006,0.739,0.925,1.016,1.098,1.138,1.156,1.214,1.214,0.994
15,12.600,0.987,0.746,0.904,1.014,1.055,1.119,1.149,1.194,1.194,1.013
20,7.600,1.067,0.804,0.973,1.065,1.127,1.265,1.296,1.367,1.367,0.937
25,12.400,0.984,0.667,0.870,0.976,1.095,1.174,1.206,1.284,1.284,1.017
30,7.200,1.157,0.934,1.096,1.140,1.227,1.303,1.347,1.356,1.356,0.865
35,10.000,1.183,0.914,1.085,1.191,1.266,1.357,1.479,1.511,1.511,0.845
40,12.800,1.101,0.768,1.031,1.105,1.201,1.228,1.275,1.625,1.625,0.908
45,12.600,1.092,0.811,1.009,1.094,1.187,1.269,1.327,1.418,1.418,0.916
50,8.400,1.147,0.864,1.073,1.133,1.238,1.365,1.384,1.498,1.498,0.872
55,12.400,1.170,0.860,1.066,1.183,1.246,1.342,1.406,1.452,1.452,0.855
